Num_Acc;luminosite
200500000456;3
200500000457;1
200500000458;5
200500000459;3
200500000460;1
200500000461;1
200500000462;3
200500000463;3
200500000464;5
200500000465;1
200500000466;2
200500000467;3
200500000468;1
200500000469;1
200500000470;1
200500000471;5
200500000472;1
200500000473;1
200500000474;2
200500000475;2
200500000476;5
200500000477;1
200500000478;1
200500000479;1
200500000480;2
200500000481;5
200500000482;5
200500000483;3
200500000484;1
200500000485;1
200500000486;3
200500000487;4
200500000488;3
200500000489;1
200500000490;1
200500000491;1
200500000492;1
200500000493;2
200500000494;3
200500000495;3
200500000496;1
200500000497;3
200500000498;3
200500000499;3
200500000500;2
200500000501;1
200500000502;1
200500000503;1
200500000504;1
200500000505;1
200500000506;3
200500000507;5
200500000508;1
200500000509;1
200500000510;1
200500000511;1
200500000512;1
200500000513;3
200500000514;3
200500000515;3
200500000516;1
200500000517;5
200500000518;3
200500000519;1
200500000520;3
200500000521;5
200500000522;3
200500000523;3
200500000524;1
200500000525;2
200500000526;1
200500000527;1
200500000528;3
200500000529;3
200500000530;2
200500000531;3
200500000532;2
200500000533;1
200500000534;3
200500000535;5
200500000536;3
200500000537;5
200500000538;1
200500000539;1
200500000540;1
200500000541;1
200500000542;1
200500000543;1
200500000544;3
200500000545;1
200500000546;1
200500000547;2
200500000548;1
200500000549;1
200500000550;3
200500000551;3
200500000552;2
200500000553;2
200500000554;5
200500000555;3
200500000556;1
200500000557;3
200500000558;3
200500000559;1
200500000560;1
200500000561;1
200500000562;3
200500000563;1
200500000564;1
200500000565;1
200500000566;3
200500000567;1
200500000568;3
200500000569;3
200500000570;1
200500000571;1
200500000572;3
200500000573;1
200500000574;1
200500000575;1
200500000576;1
200500000577;1
200500000578;1
200500000579;5
200500000580;1
200500000581;5
200500000582;1
200500000583;3
200500000584;1
200500000585;3
200500000586;1
200500000587;3
200500000588;2
200500000589;1
200500000590;1
200500000591;3
200500000592;3
200500000593;3
200500000594;1
200500000595;1
200500000596;2
200500000597;2
200500000598;1
200500000599;1
200500000600;1
200500000601;1
200500000602;1
200500000603;3
200500000604;5
200500000605;1
200500000606;3
200500000607;1
200500000608;5
200500000609;1
200500000610;1
200500000611;1
200500000612;2
200500000613;1
200500000614;3
200500000615;1
200500000616;5
200500000617;1
200500000618;1
200500000619;4
200500000620;5
200500000621;5
200500000622;2
200500000623;1
200500000624;1
200500000625;3
200500000626;1
200500000627;1
200500000628;3
200500000629;1
200500000630;2
200500000631;1
200500000632;1
200500000633;1
200500000634;2
200500000635;3
200500000636;1
200500000637;2
200500000638;1
200500000639;1
200500000640;1
200500000641;3
200500000642;2
200500000643;1
200500000644;3
200500000645;1
200500000646;1
200500000647;3
200500000648;1
200500000649;1
200500000650;1
200500000651;2
200500000652;1
200500000653;3
200500000654;3
200500000655;1
200500000656;5
200500000657;3
200500000658;1
200500000659;3
200500000660;3
200500000661;1
200500000662;1
200500000663;3
200500000664;1
200500000665;1
200500000666;5
200500000667;1
200500000668;1
200500000669;1
200500000670;1
200500000671;1
200500000672;3
200500000673;1
200500000674;3
200500000675;4
200500000676;1
200500000677;1
200500000678;1
200500000679;1
200500000680;1
200500000681;1
200500000682;1
200500000683;4
200500000684;1
200500000685;1
200500000686;5
200500000687;1
200500000688;1
200500000689;1
200500000690;1
200500000691;3
200500000692;1
200500000693;1
200500000694;5
200500000695;3
200500000696;1
200500000697;2
200500000698;2
200500000699;1
200500000700;1
200500000701;5
200500000702;3
200500000703;1
200500000704;3
200500000705;3
200500000706;1
200500000707;3
200500000708;1
200500000709;1
200500000710;1
200500000711;5
200500000712;1
200500000713;1
200500000714;1
200500000715;1
200500000716;1
200500000717;3
200500000718;3
200500000719;1
200500000720;1
200500000721;3
200500000722;1
200500000723;1
200500000724;5
200500000725;1
200500000726;5
200500000727;1
200500000728;3
200500000729;1
200500000730;1
200500000731;5
200500000732;1
200500000733;3
200500000734;3
200500000735;5
200500000736;2
200500000737;1
200500000738;1
200500000739;1
200500000740;3
200500000741;3
200500000742;1
200500000743;1
200500000744;1
200500000745;1
200500000746;1
200500000747;1
200500000748;1
200500000749;1
200500000750;5
200500000751;1
200500000752;1
200500000753;2
200500000754;5
200500000755;1
200500000756;1
200500000757;5
200500000758;1
200500000759;2
200500000760;1
200500000761;1
200500000762;3
200500000763;3
200500000764;1
200500000765;3
200500000766;1
200500000767;2
200500000768;5
200500000769;1
200500000770;3
200500000771;3
200500000772;3
200500000773;1
200500000774;3
200500000775;3
200500000776;1
200500000777;3
200500000778;2
200500000779;2
200500000780;1
200500000781;1
200500000782;2
200500000783;1
200500000784;1
200500000785;3
200500000786;3
200500000787;3
200500000788;5
200500000789;5
200500000790;1
200500000791;1
200500000792;3
200500000793;3
200500000794;3
200500000795;2
200500000796;1
200500000797;1
200500000798;1
200500000799;2
200500000800;1
200500000801;2
200500000802;1
200500000803;5
200500000804;2
200500000805;1
200500000806;1
200500000807;1
200500000808;1
200500000809;5
200500000810;3
200500000811;1
200500000812;1
200500000813;1
200500000814;1
200500000815;3
200500000816;1
200500000817;1
200500000818;1
200500000819;3
200500000820;5
200500000821;1
200500000822;2
200500000823;3
200500000824;1
200500000825;1
200500000826;1
200500000827;3
200500000828;1
200500000829;2
200500000830;5
200500000831;3
200500000832;2
200500000833;5
200500000834;5
200500000835;3
200500000836;1
200500000837;3
200500000838;1
200500000839;2
200500000840;1
200500000841;3
200500000842;1
200500000843;1
200500000844;1
200500000845;1
200500000846;4
200500000847;1
200500000848;1
200500000849;3
200500000850;3
200500000851;1
200500000852;5
